epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2943.72,1.61703,2.94078,1.64792,0.60801,0.56485,0.58505,0.36446,1.36647,1.68221,1.44888,0.00333277,0.00333277,0.0700051
2,5943.02,1.56568,2.42114,1.62876,0.51223,0.47459,0.45636,0.26868,1.51374,2.09328,1.59165,0.00653411,0.00653411,0.0398731
3,8916.01,1.68049,2.59939,1.74693,0.43541,0.3856,0.32873,0.17428,1.64596,2.43822,1.73163,0.00960346,0.00960346,0.00960912
4,11881.2,1.79311,2.81193,1.85119,0.29869,0.30869,0.2256,0.11259,1.74945,3.23101,1.89001,0.009406,0.009406,0.009406
5,14762.8,1.76024,2.71495,1.84627,0.35648,0.3441,0.25947,0.12937,1.78263,2.83471,1.90399,0.009208,0.009208,0.009208
6,17627.4,1.71673,2.58109,1.80719,0.33048,0.37997,0.27015,0.13942,1.72154,3.02312,1.8351,0.00901,0.00901,0.00901
7,20503.4,1.68007,2.49507,1.78657,0.33845,0.41485,0.28921,0.14976,1.68916,3.15016,1.87374,0.008812,0.008812,0.008812
8,23369.7,1.65714,2.43555,1.77755,0.44165,0.44007,0.36437,0.19589,1.6179,2.61925,1.78842,0.008614,0.008614,0.008614
9,26232,1.61736,2.31789,1.73981,0.46847,0.38897,0.36647,0.20356,1.63687,2.23608,1.79037,0.008416,0.008416,0.008416
10,29093.2,1.59253,2.26177,1.71239,0.47895,0.37853,0.35714,0.19559,1.63579,2.69359,1.76688,0.008218,0.008218,0.008218
11,32082.6,1.56613,2.22461,1.69784,0.47961,0.43243,0.40692,0.22374,1.62058,2.13715,1.77693,0.00802,0.00802,0.00802
12,35052,1.55022,2.14787,1.68566,0.49554,0.47284,0.43016,0.23563,1.6319,2.07136,1.80158,0.007822,0.007822,0.007822
13,37916.9,1.5262,2.1166,1.65998,0.51498,0.46852,0.44443,0.25606,1.57396,2.22061,1.7348,0.007624,0.007624,0.007624
14,40807.7,1.51668,2.07646,1.65855,0.5052,0.46077,0.4314,0.2471,1.58363,2.20698,1.7297,0.007426,0.007426,0.007426
