epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,43683.7,1.49452,1.9971,1.63288,0.5503,0.49027,0.46623,0.26116,1.57452,1.95604,1.72923,0.007228,0.007228,0.007228
16,46542,1.48665,1.99065,1.63332,0.53044,0.49323,0.46734,0.27169,1.53766,2.41988,1.70461,0.00703,0.00703,0.00703
17,49398,1.4778,1.945,1.6179,0.58825,0.48741,0.48587,0.27747,1.56344,2.00526,1.73017,0.006832,0.006832,0.006832
18,52254.7,1.45996,1.89555,1.60883,0.60377,0.48529,0.49502,0.28906,1.51665,1.88256,1.6805,0.006634,0.006634,0.006634
19,55111.3,1.4431,1.87347,1.58628,0.55798,0.47892,0.46437,0.27543,1.48185,1.88943,1.64133,0.006436,0.006436,0.006436
20,57966,1.43552,1.84921,1.58406,0.6047,0.50505,0.50993,0.29908,1.5014,1.83986,1.65567,0.006238,0.006238,0.006238
21,60823.9,1.42489,1.80694,1.57346,0.591,0.49484,0.49791,0.29207,1.48239,1.82911,1.62964,0.00604,0.00604,0.00604
22,63681,1.41508,1.76812,1.55983,0.60202,0.54101,0.54412,0.32762,1.47318,1.82829,1.62147,0.005842,0.005842,0.005842
23,66539.8,1.39078,1.73643,1.54942,0.64297,0.5133,0.53541,0.31929,1.46807,1.69372,1.61952,0.005644,0.005644,0.005644
24,69398.3,1.39263,1.73495,1.5429,0.64505,0.51363,0.5534,0.33371,1.45956,1.66791,1.62051,0.005446,0.005446,0.005446
25,72255.8,1.38271,1.71314,1.54331,0.63062,0.50673,0.53939,0.32341,1.47359,1.80974,1.6393,0.005248,0.005248,0.005248
26,75282.6,1.36804,1.68664,1.52536,0.62799,0.53698,0.54181,0.32669,1.46064,1.83305,1.6244,0.00505,0.00505,0.00505
27,78329.6,1.36321,1.65225,1.51103,0.65316,0.51998,0.54571,0.33437,1.44735,1.69057,1.60843,0.004852,0.004852,0.004852
28,81265.3,1.35869,1.64231,1.51242,0.60218,0.52521,0.53218,0.32645,1.45091,1.84825,1.61486,0.004654,0.004654,0.004654
29,84150.3,1.33297,1.59237,1.49224,0.61086,0.5582,0.56775,0.34839,1.42121,1.69053,1.58245,0.004456,0.004456,0.004456
30,87013,1.32595,1.58794,1.49213,0.65013,0.56766,0.59473,0.36901,1.41486,1.5155,1.578,0.004258,0.004258,0.004258
31,89874.7,1.31594,1.54932,1.48127,0.63183,0.56355,0.57011,0.35424,1.4257,1.62821,1.58272,0.00406,0.00406,0.00406
32,92736.3,1.31643,1.52817,1.48014,0.63283,0.5686,0.5789,0.35418,1.41196,1.6083,1.5674,0.003862,0.003862,0.003862
33,95599.5,1.29911,1.48353,1.45233,0.66809,0.57047,0.59849,0.3631,1.44048,1.49697,1.59312,0.003664,0.003664,0.003664
34,98464.2,1.28438,1.47609,1.44872,0.64316,0.55563,0.58919,0.36435,1.41278,1.61343,1.56658,0.003466,0.003466,0.003466
35,101481,1.29291,1.45572,1.46163,0.63615,0.58671,0.61341,0.37735,1.42609,1.48074,1.56938,0.003268,0.003268,0.003268
36,104387,1.28107,1.45869,1.451,0.66708,0.57771,0.61087,0.37999,1.40033,1.5153,1.55736,0.00307,0.00307,0.00307
37,107269,1.2584,1.42781,1.43458,0.6477,0.5849,0.60865,0.37721,1.40469,1.50445,1.57268,0.002872,0.002872,0.002872
38,110150,1.2527,1.39937,1.43339,0.67442,0.59308,0.62858,0.3937,1.38956,1.43303,1.542,0.002674,0.002674,0.002674
39,113033,1.25093,1.37715,1.42286,0.69066,0.58841,0.635,0.39615,1.38506,1.39515,1.54003,0.002476,0.002476,0.002476
40,115916,1.2372,1.36608,1.41378,0.67624,0.59079,0.63697,0.3942,1.39638,1.39728,1.5551,0.002278,0.002278,0.002278
41,118793,1.1426,1.04061,1.35543,0.7186,0.55919,0.63209,0.39058,1.38727,1.46461,1.55459,0.00208,0.00208,0.00208
42,121669,1.11972,0.98317,1.33644,0.68166,0.58399,0.6221,0.37779,1.42415,1.51584,1.57309,0.001882,0.001882,0.001882
43,124574,1.09461,0.94661,1.32128,0.67616,0.57606,0.62776,0.38013,1.41506,1.52085,1.57625,0.001684,0.001684,0.001684
44,127536,1.08312,0.92726,1.3099,0.68846,0.56618,0.61366,0.37596,1.43103,1.61821,1.58756,0.001486,0.001486,0.001486
45,130498,1.06972,0.88494,1.2957,0.70512,0.5733,0.62515,0.37878,1.43452,1.51774,1.58709,0.001288,0.001288,0.001288
46,133460,1.05928,0.85564,1.28241,0.68632,0.58406,0.61965,0.37535,1.44426,1.58322,1.5964,0.00109,0.00109,0.00109
47,136420,1.03698,0.84778,1.27159,0.7044,0.57971,0.6302,0.38275,1.43769,1.54409,1.60144,0.000892,0.000892,0.000892
48,139381,1.03011,0.82667,1.26804,0.70071,0.56925,0.62673,0.38231,1.4309,1.53732,1.58775,0.000694,0.000694,0.000694
49,142342,1.00948,0.80531,1.24986,0.71316,0.57265,0.63781,0.38418,1.43922,1.52646,1.60642,0.000496,0.000496,0.000496
50,145302,1.00567,0.79421,1.24575,0.70809,0.57505,0.63908,0.38425,1.43469,1.50866,1.59985,0.000298,0.000298,0.000298
