epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10095.8,1.50209,1.32539,1.2031,0.66519,0.47306,0.53072,0.31223,1.5337,1.23963,1.22549,0.005842,0.005842,0.005842
44,10329.9,1.47718,1.3054,1.19616,0.62323,0.49,0.53473,0.32049,1.52528,1.2189,1.22599,0.005743,0.005743,0.005743
45,10564.2,1.48601,1.31192,1.20145,0.63259,0.48623,0.52366,0.30974,1.5233,1.24182,1.22432,0.005644,0.005644,0.005644
46,10797.9,1.47357,1.28465,1.19087,0.63267,0.50261,0.53575,0.32013,1.51567,1.19212,1.21861,0.005545,0.005545,0.005545
47,11031.6,1.47171,1.28909,1.18961,0.68911,0.46907,0.54151,0.32223,1.52421,1.1969,1.21731,0.005446,0.005446,0.005446
48,11265.6,1.47342,1.26982,1.1878,0.66786,0.46428,0.5347,0.31639,1.5296,1.21981,1.22537,0.005347,0.005347,0.005347
49,11499.4,1.45514,1.25888,1.18096,0.68489,0.47203,0.54383,0.31861,1.52279,1.20426,1.22267,0.005248,0.005248,0.005248
50,11733.3,1.45074,1.26437,1.18188,0.64514,0.49074,0.53952,0.32098,1.50799,1.21233,1.21583,0.005149,0.005149,0.005149
51,11967.2,1.44883,1.24219,1.17749,0.61429,0.50637,0.54712,0.32319,1.52559,1.19028,1.22104,0.00505,0.00505,0.00505
52,12201.4,1.4471,1.24268,1.17296,0.63905,0.49788,0.53736,0.32113,1.52302,1.19862,1.21361,0.004951,0.004951,0.004951
53,12435.3,1.42777,1.22721,1.17339,0.65545,0.49856,0.54338,0.31875,1.52381,1.19672,1.21827,0.004852,0.004852,0.004852
54,12669.1,1.43639,1.23043,1.1706,0.67248,0.48326,0.53607,0.32104,1.49992,1.18734,1.2074,0.004753,0.004753,0.004753
55,12902.9,1.43938,1.22042,1.17042,0.67403,0.4854,0.54376,0.32478,1.52107,1.1887,1.22317,0.004654,0.004654,0.004654
56,13137.4,1.42424,1.21086,1.16688,0.62843,0.4948,0.54122,0.32401,1.50384,1.18591,1.20817,0.004555,0.004555,0.004555
57,13371.2,1.42275,1.20753,1.1626,0.63879,0.49793,0.53366,0.31987,1.50229,1.20469,1.21036,0.004456,0.004456,0.004456
58,13605.3,1.42268,1.19335,1.16739,0.64585,0.49907,0.54707,0.32783,1.4972,1.18441,1.20865,0.004357,0.004357,0.004357
59,13839.6,1.41021,1.18586,1.15887,0.63542,0.5117,0.54225,0.32608,1.49151,1.17239,1.20499,0.004258,0.004258,0.004258
60,14073.6,1.41093,1.17851,1.16092,0.67436,0.50673,0.55638,0.33523,1.47768,1.14677,1.19644,0.004159,0.004159,0.004159
61,14307.6,1.40129,1.1729,1.15659,0.67435,0.50394,0.55628,0.33329,1.49238,1.15686,1.20354,0.00406,0.00406,0.00406
62,14541.3,1.38744,1.17138,1.15146,0.68459,0.51544,0.56265,0.34079,1.477,1.14853,1.19837,0.003961,0.003961,0.003961
63,14775.3,1.3973,1.16084,1.1492,0.66079,0.50078,0.55962,0.33623,1.48957,1.14999,1.20257,0.003862,0.003862,0.003862
64,15008.9,1.38029,1.14246,1.14818,0.68916,0.49955,0.55753,0.33317,1.48118,1.14235,1.20242,0.003763,0.003763,0.003763
65,15242.8,1.3894,1.14649,1.14307,0.68033,0.48573,0.55429,0.32828,1.4941,1.15576,1.20499,0.003664,0.003664,0.003664
66,15476.7,1.38553,1.13719,1.14398,0.68723,0.50668,0.56108,0.33663,1.50086,1.14175,1.20418,0.003565,0.003565,0.003565
67,15710.4,1.37445,1.12657,1.14247,0.67922,0.50743,0.55836,0.3386,1.49756,1.15674,1.19971,0.003466,0.003466,0.003466
68,15944.3,1.36989,1.11519,1.14159,0.67902,0.50265,0.55915,0.33766,1.48482,1.14736,1.19535,0.003367,0.003367,0.003367
69,16178.2,1.36108,1.11603,1.13526,0.65432,0.51617,0.56006,0.3357,1.48582,1.13754,1.19719,0.003268,0.003268,0.003268
70,16412.2,1.35946,1.09916,1.13405,0.66412,0.5108,0.5604,0.3362,1.48469,1.12982,1.19677,0.003169,0.003169,0.003169
71,16646.1,1.35027,1.09514,1.1327,0.68927,0.487,0.55853,0.33359,1.4841,1.13667,1.19693,0.00307,0.00307,0.00307
72,16879.9,1.34281,1.08663,1.12778,0.66711,0.5269,0.57211,0.3403,1.4843,1.12726,1.19573,0.002971,0.002971,0.002971
73,17114,1.33914,1.08093,1.12796,0.65933,0.53041,0.5677,0.34086,1.48929,1.12033,1.19653,0.002872,0.002872,0.002872
74,17348.3,1.34025,1.06599,1.12359,0.66946,0.52252,0.56731,0.33999,1.48429,1.13618,1.19692,0.002773,0.002773,0.002773
75,17582.5,1.33996,1.06737,1.12247,0.66531,0.51723,0.56764,0.33932,1.48413,1.12657,1.20287,0.002674,0.002674,0.002674
76,17816.6,1.33629,1.07057,1.1226,0.66723,0.51705,0.56888,0.33857,1.47828,1.11751,1.19538,0.002575,0.002575,0.002575
77,18050.7,1.3303,1.06316,1.12259,0.66513,0.51724,0.5629,0.3398,1.47294,1.12827,1.19222,0.002476,0.002476,0.002476
78,18284.9,1.32283,1.05089,1.11603,0.69056,0.52448,0.56642,0.34379,1.47794,1.12649,1.19273,0.002377,0.002377,0.002377
79,18519.3,1.33034,1.05886,1.11905,0.6861,0.50746,0.56604,0.34229,1.47545,1.12784,1.1946,0.002278,0.002278,0.002278
80,18753.4,1.30781,1.03121,1.11253,0.66761,0.52631,0.57653,0.34476,1.47701,1.10154,1.19227,0.002179,0.002179,0.002179
81,18987.7,1.30883,1.03514,1.11421,0.67435,0.52155,0.56593,0.34306,1.473,1.11721,1.1943,0.00208,0.00208,0.00208
82,19221.4,1.3062,1.02365,1.11028,0.67623,0.51829,0.57032,0.34166,1.48136,1.11295,1.20064,0.001981,0.001981,0.001981
83,19455.3,1.30427,1.01943,1.11011,0.67364,0.52349,0.57053,0.3406,1.48409,1.11063,1.19895,0.001882,0.001882,0.001882
