epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.448,1.93442,2.66376,1.45966,0.52519,0.35978,0.38018,0.21002,1.70631,1.70216,1.28446,0.0033288,0.0033288,0.0700408
2,541.303,1.82686,2.00339,1.35322,0.46442,0.30093,0.30502,0.16741,1.77379,1.87103,1.31309,0.00659618,0.00659618,0.0399748
3,803.311,1.96589,2.14544,1.40684,0.32619,0.24849,0.1984,0.10031,2.07376,2.2904,1.47032,0.00979756,0.00979756,0.00984285
4,1063.67,2.09441,2.38382,1.48554,0.30578,0.26707,0.20086,0.09783,2.12143,2.19674,1.49019,0.009703,0.009703,0.009703
5,1324.5,2.08476,2.3285,1.46158,0.38819,0.25122,0.23076,0.11142,2.0644,2.15775,1.47911,0.009604,0.009604,0.009604
6,1584.9,2.04263,2.2489,1.44061,0.36569,0.31232,0.26289,0.13062,1.97851,2.04708,1.45493,0.009505,0.009505,0.009505
7,1845.35,2.00861,2.18317,1.41562,0.36519,0.30686,0.27481,0.13977,1.94027,1.92289,1.39227,0.009406,0.009406,0.009406
8,2106.04,1.97898,2.14323,1.41383,0.39899,0.26935,0.2653,0.14038,1.93159,1.98587,1.37199,0.009307,0.009307,0.009307
9,2366.32,1.97353,2.12067,1.40423,0.36756,0.31751,0.2881,0.15479,1.91985,1.89586,1.35646,0.009208,0.009208,0.009208
10,2626.75,1.93272,2.06151,1.38668,0.4366,0.32136,0.30849,0.1617,1.89625,1.86362,1.36882,0.009109,0.009109,0.009109
11,2887.31,1.89621,2.02147,1.36824,0.43069,0.33751,0.31224,0.16517,1.90456,1.83307,1.35094,0.00901,0.00901,0.00901
12,3131.22,1.88297,1.97521,1.36091,0.44415,0.35011,0.34099,0.18501,1.84227,1.72357,1.33206,0.008911,0.008911,0.008911
13,3377.79,1.87186,1.95491,1.35744,0.44561,0.35229,0.3439,0.18614,1.85341,1.76518,1.34713,0.008812,0.008812,0.008812
14,3623.43,1.85266,1.90894,1.34256,0.46166,0.33517,0.33127,0.18147,1.81437,1.72072,1.32459,0.008713,0.008713,0.008713
15,3868.5,1.83803,1.89856,1.33802,0.53499,0.34833,0.36415,0.19762,1.79604,1.67189,1.3145,0.008614,0.008614,0.008614
16,4113.58,1.824,1.86056,1.3252,0.49538,0.35045,0.34299,0.19036,1.80675,1.7109,1.32862,0.008515,0.008515,0.008515
17,4358.72,1.8188,1.84554,1.32701,0.49601,0.3696,0.36456,0.19892,1.80283,1.67416,1.32009,0.008416,0.008416,0.008416
18,4603.63,1.80239,1.81326,1.31668,0.48967,0.36555,0.36771,0.20173,1.76885,1.65088,1.31146,0.008317,0.008317,0.008317
19,4848.18,1.79523,1.81642,1.31443,0.44709,0.38756,0.37783,0.20713,1.77449,1.62131,1.29168,0.008218,0.008218,0.008218
20,5092.53,1.77963,1.7757,1.30686,0.5042,0.38526,0.39289,0.21888,1.76473,1.56926,1.30302,0.008119,0.008119,0.008119
21,5337.37,1.76765,1.7658,1.30575,0.51237,0.39865,0.40194,0.22251,1.76796,1.56607,1.30736,0.00802,0.00802,0.00802
22,5582,1.76028,1.74468,1.29355,0.4999,0.40561,0.40621,0.21873,1.79994,1.54452,1.29895,0.007921,0.007921,0.007921
23,5826.39,1.74519,1.73034,1.29144,0.52924,0.39462,0.40275,0.22094,1.77251,1.57447,1.28456,0.007822,0.007822,0.007822
24,6070.92,1.75277,1.71234,1.2869,0.53114,0.40973,0.40979,0.22741,1.73151,1.53482,1.28095,0.007723,0.007723,0.007723
25,6315.96,1.72743,1.71441,1.28325,0.53211,0.39496,0.41498,0.23865,1.70604,1.51954,1.27547,0.007624,0.007624,0.007624
26,6560.87,1.72033,1.68229,1.27616,0.53952,0.38233,0.40722,0.22819,1.7177,1.52897,1.26543,0.007525,0.007525,0.007525
27,6805.74,1.71006,1.66127,1.27052,0.50964,0.39926,0.41959,0.23966,1.67465,1.47945,1.25334,0.007426,0.007426,0.007426
28,7050.5,1.71454,1.65842,1.26875,0.53541,0.38462,0.41568,0.23545,1.71695,1.49518,1.26086,0.007327,0.007327,0.007327
29,7294.99,1.69957,1.64583,1.26732,0.52418,0.41324,0.42343,0.23925,1.70246,1.46458,1.25875,0.007228,0.007228,0.007228
30,7539.28,1.70689,1.62946,1.26705,0.55175,0.40654,0.42563,0.23985,1.71873,1.46689,1.25764,0.007129,0.007129,0.007129
31,7784.44,1.69468,1.61761,1.25722,0.53696,0.41955,0.43619,0.25003,1.67251,1.45799,1.24908,0.00703,0.00703,0.00703
32,8029,1.67109,1.6047,1.25332,0.61087,0.40055,0.44646,0.25206,1.68291,1.42831,1.2399,0.006931,0.006931,0.006931
33,8274.04,1.68146,1.59686,1.24731,0.58938,0.40206,0.44056,0.24779,1.68489,1.44178,1.2426,0.006832,0.006832,0.006832
34,8518.45,1.66514,1.57645,1.2436,0.53289,0.4072,0.44103,0.25576,1.67366,1.44265,1.23801,0.006733,0.006733,0.006733
35,8763.49,1.66236,1.57058,1.24328,0.55421,0.4226,0.44688,0.25881,1.66164,1.39693,1.24296,0.006634,0.006634,0.006634
36,9008.24,1.66165,1.56869,1.2426,0.61038,0.42032,0.46371,0.26265,1.67959,1.40486,1.23728,0.006535,0.006535,0.006535
37,9253.47,1.63765,1.53162,1.23591,0.58857,0.42442,0.454,0.25668,1.66883,1.39066,1.24307,0.006436,0.006436,0.006436
38,9498.1,1.64225,1.53348,1.23623,0.55362,0.43518,0.45703,0.25728,1.65542,1.38351,1.23591,0.006337,0.006337,0.006337
39,9742.72,1.64859,1.53486,1.23241,0.57822,0.4197,0.45666,0.26203,1.65831,1.38341,1.23028,0.006238,0.006238,0.006238
40,9987.25,1.631,1.50522,1.22893,0.55045,0.43187,0.46412,0.26323,1.64079,1.38984,1.21766,0.006139,0.006139,0.006139
41,10232.4,1.62239,1.51021,1.22454,0.56297,0.43881,0.46115,0.26797,1.63217,1.35321,1.21747,0.00604,0.00604,0.00604
42,10477.3,1.60732,1.48428,1.21416,0.56774,0.43785,0.46478,0.26563,1.64712,1.3513,1.22062,0.005941,0.005941,0.005941
43,10721.9,1.60577,1.47531,1.2199,0.57729,0.44202,0.46957,0.26953,1.6369,1.3561,1.21263,0.005842,0.005842,0.005842
44,10966.8,1.60154,1.46501,1.21022,0.60134,0.43843,0.47412,0.27239,1.62544,1.32982,1.21566,0.005743,0.005743,0.005743
45,11211.7,1.60067,1.46427,1.21415,0.64608,0.42563,0.48564,0.27978,1.62193,1.30364,1.21752,0.005644,0.005644,0.005644
46,11457,1.59061,1.44631,1.20942,0.57013,0.4484,0.47809,0.27412,1.61624,1.30334,1.20415,0.005545,0.005545,0.005545
47,11701.7,1.59071,1.45127,1.20919,0.57122,0.4422,0.47799,0.27419,1.61796,1.31533,1.2086,0.005446,0.005446,0.005446
48,11946.2,1.58904,1.43984,1.20418,0.5997,0.44957,0.48248,0.2804,1.60641,1.28528,1.1964,0.005347,0.005347,0.005347
49,12191.1,1.58184,1.42137,1.20106,0.58988,0.44692,0.47756,0.27881,1.60774,1.30497,1.20496,0.005248,0.005248,0.005248
50,12435.5,1.57121,1.42138,1.19979,0.60241,0.43595,0.48273,0.28326,1.60846,1.29811,1.21029,0.005149,0.005149,0.005149
51,12680.4,1.57202,1.40799,1.20028,0.60943,0.44046,0.4794,0.28042,1.59163,1.3055,1.19033,0.00505,0.00505,0.00505
52,12924.8,1.57639,1.41138,1.19826,0.61991,0.45298,0.48827,0.28471,1.61666,1.29454,1.20508,0.004951,0.004951,0.004951
53,13169.5,1.5655,1.39231,1.19232,0.62281,0.4437,0.49324,0.29055,1.59929,1.27955,1.19079,0.004852,0.004852,0.004852
54,13414.4,1.55186,1.37599,1.18762,0.61989,0.44744,0.4941,0.28893,1.59546,1.26913,1.1947,0.004753,0.004753,0.004753
55,13659.1,1.55386,1.36851,1.18741,0.61885,0.44866,0.49681,0.29116,1.58955,1.26994,1.18973,0.004654,0.004654,0.004654
56,13904.1,1.54951,1.35672,1.18507,0.59395,0.45718,0.49275,0.28678,1.59163,1.26415,1.18966,0.004555,0.004555,0.004555
57,14148.5,1.54489,1.35228,1.18461,0.59891,0.46173,0.49437,0.2854,1.59335,1.27757,1.18844,0.004456,0.004456,0.004456
58,14393.2,1.52064,1.35232,1.17342,0.6119,0.45051,0.49666,0.28683,1.58986,1.26511,1.18668,0.004357,0.004357,0.004357
59,14638.9,1.52373,1.34384,1.17373,0.58191,0.44679,0.48988,0.28706,1.58344,1.2827,1.18532,0.004258,0.004258,0.004258
60,14883.3,1.53069,1.34899,1.18005,0.6132,0.46677,0.5042,0.29356,1.58493,1.26182,1.18505,0.004159,0.004159,0.004159
61,15128.3,1.52411,1.3266,1.17387,0.6006,0.45652,0.50057,0.29376,1.56735,1.24918,1.17997,0.00406,0.00406,0.00406
62,15373.2,1.51385,1.32611,1.16963,0.61817,0.44325,0.49186,0.28929,1.5791,1.2659,1.18475,0.003961,0.003961,0.003961
63,15617.9,1.50892,1.31936,1.17136,0.59598,0.4584,0.4961,0.28971,1.57981,1.2661,1.17713,0.003862,0.003862,0.003862
64,15862.3,1.50637,1.30968,1.1665,0.58723,0.47391,0.49468,0.28799,1.60192,1.24949,1.19271,0.003763,0.003763,0.003763
65,16106.9,1.50766,1.31056,1.16764,0.62972,0.45697,0.50601,0.296,1.58737,1.25348,1.18493,0.003664,0.003664,0.003664
66,16351.7,1.48803,1.28375,1.1633,0.59332,0.46937,0.5033,0.29239,1.59024,1.25471,1.18866,0.003565,0.003565,0.003565
67,16596.3,1.50014,1.28813,1.16215,0.59687,0.46232,0.50068,0.29549,1.58094,1.26266,1.18233,0.003466,0.003466,0.003466
68,16844.2,1.49452,1.27052,1.16053,0.61919,0.45258,0.50363,0.29674,1.57784,1.24794,1.17779,0.003367,0.003367,0.003367
69,17088.7,1.47658,1.27382,1.15449,0.60777,0.48037,0.5082,0.29911,1.57058,1.2393,1.17409,0.003268,0.003268,0.003268
70,17333,1.49571,1.2711,1.15734,0.60306,0.46272,0.50671,0.29828,1.58118,1.24374,1.17678,0.003169,0.003169,0.003169
71,17577,1.47619,1.25558,1.14948,0.60724,0.48722,0.51242,0.29892,1.57689,1.21609,1.17878,0.00307,0.00307,0.00307
72,17820.7,1.48064,1.25196,1.15307,0.6361,0.46072,0.5067,0.2988,1.56805,1.22524,1.17483,0.002971,0.002971,0.002971
73,18064.8,1.46778,1.2412,1.14688,0.60863,0.45951,0.50469,0.29691,1.57174,1.22693,1.17993,0.002872,0.002872,0.002872
74,18308.6,1.4611,1.23529,1.14915,0.6574,0.45974,0.51247,0.29828,1.56748,1.22005,1.17864,0.002773,0.002773,0.002773
75,18552.5,1.46878,1.23189,1.14376,0.61529,0.46978,0.50645,0.29809,1.56842,1.2306,1.18027,0.002674,0.002674,0.002674
76,18796.4,1.44826,1.22582,1.14328,0.62033,0.47763,0.51435,0.3017,1.56171,1.21695,1.17515,0.002575,0.002575,0.002575
77,19040.7,1.4417,1.21201,1.14066,0.64382,0.46135,0.5144,0.30124,1.56331,1.21935,1.17177,0.002476,0.002476,0.002476
78,19284.4,1.45026,1.21546,1.13448,0.63663,0.47493,0.51988,0.30436,1.55816,1.213,1.17196,0.002377,0.002377,0.002377
79,19528.9,1.44044,1.20392,1.1344,0.63121,0.46944,0.51572,0.30598,1.5552,1.20581,1.17053,0.002278,0.002278,0.002278
80,19773.5,1.42874,1.19518,1.13306,0.65341,0.46829,0.51744,0.30757,1.55688,1.21142,1.16761,0.002179,0.002179,0.002179
81,20018,1.42596,1.19117,1.13026,0.63014,0.46746,0.51755,0.30711,1.55302,1.21319,1.16741,0.00208,0.00208,0.00208
82,20261.9,1.43635,1.18653,1.13236,0.64685,0.47127,0.51965,0.307,1.54441,1.20483,1.1661,0.001981,0.001981,0.001981
83,20505.8,1.41328,1.17138,1.125,0.63557,0.47003,0.52288,0.30805,1.55025,1.20353,1.16669,0.001882,0.001882,0.001882
