epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.001,1.71657,2.47061,1.40261,0.62521,0.4094,0.47067,0.28823,1.51841,1.55224,1.24834,0.00331522,0.00331522,0.070163
2,560.041,1.57505,1.62184,1.30122,0.55838,0.42293,0.4534,0.2642,1.5842,1.50525,1.28746,0.00658273,0.00658273,0.0400972
3,835.558,1.68494,1.78612,1.34957,0.37043,0.31937,0.27376,0.14403,1.86999,2.18076,1.46023,0.00978424,0.00978424,0.0099654
4,1109.98,1.8237,2.03208,1.43417,0.33863,0.32827,0.23927,0.12168,1.97523,2.42143,1.54855,0.009703,0.009703,0.009703
5,1383.56,1.83889,2.02651,1.43615,0.44236,0.25198,0.24605,0.12388,2.02358,2.32995,1.61562,0.009604,0.009604,0.009604
6,1656.32,1.80384,1.96223,1.41751,0.47908,0.30623,0.31541,0.16799,1.87838,2.08458,1.49584,0.009505,0.009505,0.009505
7,1928.45,1.77424,1.89149,1.39777,0.44198,0.35193,0.33181,0.17656,1.82437,1.99966,1.43179,0.009406,0.009406,0.009406
8,2200.53,1.75947,1.84813,1.37714,0.50966,0.37864,0.39226,0.2165,1.78686,1.70082,1.44835,0.009307,0.009307,0.009307
9,2472.7,1.72913,1.7903,1.37336,0.53478,0.36133,0.38206,0.20553,1.79033,1.76925,1.41357,0.009208,0.009208,0.009208
10,2745.11,1.70527,1.75406,1.35726,0.5455,0.38131,0.40814,0.21889,1.74433,1.67115,1.40002,0.009109,0.009109,0.009109
11,3017.38,1.69927,1.70936,1.35256,0.53241,0.3907,0.41407,0.23235,1.72967,1.68287,1.38014,0.00901,0.00901,0.00901
12,3288.96,1.67053,1.68893,1.34146,0.54076,0.41241,0.42975,0.24641,1.67972,1.58884,1.37176,0.008911,0.008911,0.008911
13,3560.7,1.64071,1.64791,1.32446,0.57823,0.42587,0.44929,0.2533,1.6858,1.54637,1.35278,0.008812,0.008812,0.008812
14,3832.74,1.64573,1.63171,1.32932,0.59771,0.39979,0.45325,0.25347,1.67392,1.57623,1.33716,0.008713,0.008713,0.008713
15,4105.07,1.62497,1.59805,1.31616,0.58406,0.43484,0.46241,0.2607,1.66296,1.53185,1.34664,0.008614,0.008614,0.008614
16,4377.3,1.61351,1.56699,1.30695,0.57748,0.44388,0.4581,0.26257,1.65895,1.51571,1.34549,0.008515,0.008515,0.008515
17,4649.75,1.60704,1.55762,1.30121,0.59658,0.42234,0.45498,0.26115,1.65083,1.57379,1.33812,0.008416,0.008416,0.008416
18,4922.1,1.59383,1.51924,1.29344,0.56884,0.46723,0.48451,0.27627,1.64703,1.46139,1.34308,0.008317,0.008317,0.008317
19,5194.31,1.57928,1.51588,1.29112,0.62139,0.47077,0.50958,0.2974,1.60948,1.4175,1.31837,0.008218,0.008218,0.008218
20,5467.34,1.57124,1.48615,1.27879,0.66627,0.46139,0.51909,0.29945,1.60779,1.36676,1.31029,0.008119,0.008119,0.008119
21,5740.55,1.56687,1.4727,1.27535,0.62478,0.46633,0.50848,0.29092,1.61553,1.38396,1.30765,0.00802,0.00802,0.00802
22,6013.54,1.54177,1.44871,1.26524,0.60522,0.44827,0.48948,0.29055,1.57693,1.41062,1.28941,0.007921,0.007921,0.007921
23,6286.39,1.53434,1.43168,1.26483,0.64406,0.44763,0.50849,0.3004,1.57535,1.39594,1.29563,0.007822,0.007822,0.007822
24,6559.51,1.53955,1.42206,1.25721,0.63307,0.48436,0.51823,0.29753,1.61476,1.35732,1.30961,0.007723,0.007723,0.007723
25,6831.62,1.51998,1.40765,1.25352,0.60645,0.48395,0.51883,0.30765,1.57234,1.35856,1.27902,0.007624,0.007624,0.007624
26,7104.73,1.51552,1.3825,1.25035,0.65475,0.4616,0.50577,0.2987,1.58953,1.41022,1.28452,0.007525,0.007525,0.007525
27,7377.29,1.49826,1.36408,1.24025,0.62526,0.4984,0.52977,0.31616,1.55247,1.3208,1.27801,0.007426,0.007426,0.007426
28,7649.92,1.4993,1.3585,1.24444,0.64703,0.46518,0.51888,0.30971,1.57043,1.36899,1.28329,0.007327,0.007327,0.007327
29,7922.24,1.50181,1.34439,1.23952,0.66035,0.47527,0.52889,0.31841,1.55581,1.31039,1.28031,0.007228,0.007228,0.007228
30,8194.73,1.48833,1.33262,1.23478,0.61805,0.49133,0.53707,0.31689,1.54255,1.30392,1.26239,0.007129,0.007129,0.007129
31,8466.76,1.48317,1.32813,1.23143,0.64968,0.49725,0.54783,0.32163,1.5529,1.27189,1.27373,0.00703,0.00703,0.00703
32,8739.29,1.47571,1.31536,1.22753,0.63917,0.49237,0.53863,0.31549,1.55473,1.3208,1.26193,0.006931,0.006931,0.006931
33,9011.24,1.46837,1.29982,1.2212,0.688,0.48421,0.53772,0.32022,1.54458,1.28417,1.26702,0.006832,0.006832,0.006832
34,9283.39,1.4599,1.28922,1.21402,0.66209,0.48685,0.54831,0.32678,1.53651,1.285,1.25962,0.006733,0.006733,0.006733
35,9555.84,1.45672,1.27097,1.21336,0.66918,0.50251,0.56501,0.34097,1.50988,1.24451,1.25003,0.006634,0.006634,0.006634
36,9828.2,1.46336,1.28598,1.21963,0.64177,0.52181,0.56314,0.33581,1.52921,1.23611,1.25422,0.006535,0.006535,0.006535
37,10100.4,1.43419,1.24761,1.20585,0.66447,0.52652,0.56347,0.33367,1.53014,1.2376,1.25666,0.006436,0.006436,0.006436
